,wid,counts,time,exclude counts,exclude time
0,wc86ced4,[ 1  3  2  1  1  3  6 17 14],3.9096166666666665,False,False
1,wb3a1943,[ 0  1  5  5 19 13  5  0  0],5.521983333333333,False,False
2,w8e6b20c,[ 4  3  4  3  9 11  8  6  0],5.335533333333333,False,False
3,w039ba33,[ 8  2  4  8  7 13  5  1  0],15.620516666666667,False,False
4,w18495d4,[ 0  0  3  6  5  8 14 11  1],3.80955,False,False
5,wee38af7,[ 0  0  0  3  8 14 21  2  0],3.6798333333333333,False,False
6,wb41404e,[ 0  0  0 10 14  7 13  4  0],4.4916,False,False
7,wca5740f,[ 1  0  3  1  1  9 16  9  8],7.5263,False,False
8,w4095f84,[ 0  0  0  2 19 19  7  1  0],4.9520333333333335,False,False
9,w63c1445,[ 0  0  3  8  4 25  7  1  0],5.3791166666666665,False,False
10,wa9665a9,[12  8  8  2 17  1  0  0  0],7.4797,False,False
11,w9ed45bc,[ 6 10 10  4  8  6  2  2  0],8.856483333333333,False,False
12,w5a3ebeb,[28 10  7  2  1  0  0  0  0],9.036883333333334,False,False
13,wcd3837f,[ 9  3  6  1  6 10  9  4  0],5.987166666666667,False,False
14,w2aeb06d,[ 0  3 11  9  8 11  4  2  0],3.96305,False,False
15,w630018b,[ 0  0  0  0  2  2 26 18  0],5.879616666666666,False,False
16,waaf59b3,[ 8  4 10  4  6  9  4  3  0],8.1558,False,False
17,w5161ee5,[ 8  8  2  0  9  3 18  0  0],11.306616666666667,False,False
18,wdb435de,[ 0  4 12 11  6 10  4  1  0],7.05895,False,False
19,w23965ea,[ 3 24  7  3  1  2  1  7  0],6.148633333333334,False,False
20,w5c29f39,[13  7  1  1  5 13  7  1  0],5.5653,False,False
21,w2f922a8,[ 1  1  3  5  1 18  8  9  2],5.1556,False,False
22,w7fffd10,[ 1  0  2  1  1 10  7 21  5],8.676983333333334,False,False
23,w3d34f23,[ 8  2  8 14 11  5  0  0  0],6.5407166666666665,False,False
24,wda53a42,[ 6 11  2  6  0 17  4  2  0],5.4679,False,False
25,w309f590,[ 0  1  8  8 11 12  6  2  0],6.695566666666667,False,False
26,wf5cce31,[1 5 9 2 6 9 9 6 1],6.175966666666667,False,False
27,w494dc7a,[ 6 10  9  3  4  3  8  5  0],5.386066666666666,False,False
28,w2da7e27,[ 0  2  5 12  4 13  8  4  0],5.46505,False,False
29,w37febc7,[12  0  0  3  6  5  1  1 20],4.973133333333333,False,False
30,wa4a69c9,[23  6  4  1  4  8  0  2  0],5.967983333333334,False,False
31,w4fd5dc7,[ 0  1  1 14 15  9  5  3  0],8.495166666666666,False,False
32,w1e27c75,[13 13 10  1  3  5  3  0  0],5.98275,False,False
33,w1b0845d,[ 0  0  0  0 21 18  6  0  3],3.9747333333333335,False,False
34,we96b589,[ 0  0  0  0  0  9  9 25  5],5.6976,False,False
35,w09b7b04,[ 0  0  2  3  2  5 24 12  0],6.495566666666667,False,False
36,w1452817,[ 0  0  1  7  7 12 12  9  0],5.422833333333333,False,False
37,wcf21689,[ 1  4  8  7  8 12  6  2  0],6.7149,False,False
38,wa3b9104,[ 6  8 13 11  7  2  1  0  0],8.67935,False,False
39,w8a5d13f,[ 0  4  3  2  5 12 14  8  0],8.621566666666666,False,False
40,w589a768,[ 1  2  1  0  0  2 16 17  9],4.3691,False,False
41,w689d5ff,[ 1  4  1  5 17  5 11  3  1],5.1825833333333335,False,False
42,wca12fe1,[8 5 9 4 4 7 5 4 2],4.684366666666667,False,False
43,w6bd41fa,[6 7 6 5 9 8 4 2 1],4.5703,False,False
44,wd86ece6,[ 1  8  9  5 10  3  8  4  0],4.055716666666667,False,False
45,wdd5e0d6,[ 4  0  1  3  7  5  0  1 27],5.680033333333333,False,False
46,wfedb05f,[ 4  9 10  7  7  4  3  4  0],5.955466666666666,False,False
47,w895ea4d,[ 0  0  0  0 48  0  0  0  0],5.174933333333334,True,False
48,w9379bf6,[ 0  0 13  6  8  7  4  8  2],13.607683333333334,False,False
49,w223bf59,[ 0  0  7  5 11  9  7  9  0],4.354966666666667,False,False
50,w5626886,[19  6  6  5  8  1  2  0  1],5.9107,False,False
51,wdd85250,[ 2 10 10  5  7  6  4  1  3],9.661883333333334,False,False
52,w8ac6479,[10 13  7  8  1  7  2  0  0],11.77535,False,False
53,w6611070,[ 3  8 10 10  6  5  5  1  0],4.8067166666666665,False,False
54,wc3d1bb4,[16  5  7  1  0  3  5  4  7],6.69705,False,False
55,wb657fc1,[ 8  3  1  0 18  1  8  2  7],8.665183333333333,False,False
56,w872343c,[ 5  5  4 12  1 14  7  0  0],9.00785,False,False
57,w2f07db2,[ 0  0  0 11 12 15  8  2  0],6.709333333333333,False,False
58,w528f568,[ 0  0  0  0  4  4  5  6 29],4.2326,False,False
59,w94fa230,[ 0  0  0  2 10  4 11 14  7],8.903966666666667,False,False
60,w30adba2,[ 5  4  4  6 10 13  5  1  0],5.7541166666666665,False,False
61,w583ea3b,[14  2  0  2 11  2  4  0 13],4.769466666666666,False,False
62,w40f2342,[ 2  1  3  2  7  9 19  5  0],5.1832666666666665,False,False
63,w555bafb,[ 0  1  2  5 10 11 10  9  0],6.36895,False,False
64,w53f5df5,[ 2  2  4  5  8 11  7  6  3],4.900333333333333,False,False
65,w3d40ead,[ 2  3  2  4  6 16 10  5  0],6.455916666666667,False,False
66,w138952d,[ 0  0  6 10 11 10 11  0  0],5.474966666666667,False,False
67,wa379fd4,[ 1  3  1 13 15  4  4  7  0],7.628566666666667,False,False
68,w226703c,[ 0  9  9  3  4 12 10  1  0],9.8915,False,False
69,w8fb6fa1,[34  2  1  0  0  0  0  0 11],5.523383333333333,False,False
70,wfcc8820,[20  6  4  3  5  1  4  5  0],16.33055,False,False
71,wf458a17,[ 2  6  5 10 13  6  5  1  0],4.1062,False,False
72,w19dc07a,[ 0  4  3 10  9 13  7  2  0],21.2351,False,True
73,wc90e38d,[ 4  4  4  3  6  7  1  7 12],7.761266666666667,False,False
74,w3ae85eb,[16  0  0  0  1  0  1  1 29],3.7602166666666665,False,False
75,w0266733,[12  8  8  4  4  9  3  0  0],9.40225,False,False
76,wb8f1d3f,[ 1  4 14 14  4 10  1  0  0],5.472316666666667,False,False
77,wee63545,[ 0  1  2  5 16  8  9  6  1],4.5563666666666665,False,False
78,w001bcc3,[6 8 7 5 4 5 9 3 1],4.2936,False,False
79,w3889a2c,[ 0  0  0  0  5 18 18  7  0],6.84295,False,False
80,w9c0bb2b,[ 0  0  0  0  1  1 15 30  1],4.685816666666667,False,False
81,w48ad2c7,[ 0  2  6  7 15 11  6  1  0],5.325083333333334,False,False
82,we857d40,[ 0  1  2  2  7 13 12 10  1],6.948733333333333,False,False
83,w9124f64,[ 1  0  6  9  4 10  6  5  7],6.559,False,False
84,wb0ad519,[ 0  0  0  2  2 16 23  3  2],16.85925,False,False
85,wda704d0,[15  3  4  3  6  3  7  4  3],3.636066666666667,False,False
86,wfa7433e,[ 5  6 10  3  4  2  3 14  1],6.000566666666667,False,False
87,w41d160d,[ 2  1  1  2  7 15 12  8  0],15.347633333333333,False,False
88,w2fd84a9,[ 1  9  9 13  6  9  1  0  0],6.5811,False,False
89,w0e1d2bf,[11  7 11  9  8  1  1  0  0],6.113566666666666,False,False
90,wce85fc9,[1 1 8 6 5 9 3 9 6],5.4429,False,False
91,w0a219fe,[ 1  3  0  8 19 15  2  0  0],6.4530666666666665,False,False
92,w396d77e,[ 0  4  0  2  2 12 16 11  1],4.961333333333333,False,False
93,w5b00f92,[ 4  5  9  7 10  7  5  1  0],14.991566666666667,False,False
94,web47895,[ 0  3  4  9 11  7  0  7  7],5.595316666666666,False,False
95,wd2c557c,[9 5 6 9 8 4 5 1 1],4.96035,False,False
96,w39a57db,[ 2  3  8  5  9 10  7  3  1],6.159133333333333,False,False
97,w6f4ea7c,[7 5 5 2 4 8 7 5 5],4.3629,False,False
98,wa1db05c,[ 8  0  1  6  7 11 13  2  0],7.360116666666666,False,False
99,w3b2e990,[ 3  0  3  1  2 15 16  8  0],9.267533333333333,False,False
100,w9108b27,[ 1  6  7 11 11  5  6  1  0],9.8807,False,False
101,w6aebfce,[26  0  0  0  0  0  0  0 22],4.8206,False,False
102,w2613761,[ 5  9 11  5  7  5  5  1  0],6.894266666666667,False,False
103,w7d48947,[ 5  2  4  3  2  2 12  9  9],5.946033333333333,False,False
104,wa6896b8,[ 5 14 15  4  2  5  2  1  0],16.95725,False,False
105,w50f8f7e,[ 4  0  7 18 13  6  0  0  0],5.1893,False,False
106,w06fe388,[ 0  0  0  0 11  8  7  8 14],14.2544,False,False
107,w7396a9d,[ 0  1  4  7  7  6  9 11  3],4.024866666666667,False,False
108,w4db25a1,[6 8 6 2 5 2 9 7 3],7.6786,False,False
109,w2a553fc,[12  1  4  5  3  2  8  9  4],6.0909,False,False
110,w82913c1,[ 8  5  9 12  5  4  4  1  0],9.9581,False,False
111,wecad06e,[ 0  8 15  6  7  6  4  2  0],4.232633333333333,False,False
112,w07d9610,[7 2 1 4 8 4 8 8 6],5.109083333333333,False,False
113,wf3fcc62,[ 4  2  1  3 10  7  8  7  6],9.558566666666668,False,False
114,w30580ff,[28  1  1  5  7  0  1  0  5],15.562916666666666,False,False
115,w7b25ead,[ 0 10  7 17  8  3  2  1  0],5.061933333333333,False,False
116,wdc777eb,[ 1  3  4  8 10 17  5  0  0],6.8623666666666665,False,False
117,w5ded5fd,[ 0  0  6 11  9  6 13  3  0],4.69265,False,False
118,wf0b7559,[12 11  9  4  2  4  4  2  0],11.840866666666667,False,False
119,w16b64d9,[ 0  0  0  0  0 13 31  4  0],4.959766666666667,False,False
120,w7c06a19,[15  9  4 11  6  2  1  0  0],7.204566666666667,False,False
121,wb18c6e2,[ 4  9 12  8  3  7  4  0  1],15.349033333333333,False,False
122,w58920bb,[ 0  0  0  8  6 14 13  7  0],5.600633333333334,False,False
123,wfc8d649,[12  0  0  0  3  1  1  1 30],5.16575,False,False
124,wacd1cb6,[ 0  0  2  1  2 10 17 15  1],3.5827166666666668,False,False
125,wa33ff3f,[ 6 17  6 10  1  3  3  1  1],5.318533333333333,False,False
126,waf4b863,[ 1  6  3  4  6 19  7  2  0],5.159883333333333,False,False
127,w4850c46,[ 8 12  5  2  6  3  6  6  0],5.578483333333334,False,False
128,w4230c5b,[ 1 10  5  8  6  6  8  4  0],6.627083333333333,False,False
129,wa187c44,[9 2 4 6 8 7 8 4 0],4.3455,False,False
130,wfa81ffb,[ 0  0  2  0  6 13 17 10  0],5.545233333333333,False,False
131,w150cee3,[ 5  0  2  2  7  3  8  4 17],4.79065,False,False
132,wc5a0350,[ 0  2  2  1 11 18 12  2  0],5.990216666666667,False,False
133,wc3f77f6,[ 0  4  6 12  2  7 10  7  0],5.570516666666666,False,False
134,w8c8e3c4,[ 4  1  8 18  5  5  6  1  0],4.079033333333333,False,False
135,w95ee192,[ 2  2  3 10  9 12  8  2  0],6.438866666666667,False,False
136,wabad900,[ 3  1  0  9 14 12  4  4  1],7.357183333333333,False,False
137,w1608811,[ 0  6 12 11  2  6  7  4  0],6.680366666666667,False,False
138,w6bbb7f5,[ 0  3  6  6 11 11  7  4  0],8.935283333333333,False,False
139,w89c7369,[ 4  4  9 10 10  4  4  3  0],10.175216666666667,False,False
140,wa855bbc,[48  0  0  0  0  0  0  0  0],4.52895,True,False
141,w0620066,[ 8 11 11  1  2  9  5  1  0],23.2197,False,True
142,wf9909e2,[ 4  2  2  5  3 16 13  3  0],5.3234,False,False
143,w6d0d217,[ 0  5  5 12  9 12  5  0  0],8.089483333333334,False,False
144,wa2d7975,[10  7 23  6  2  0  0  0  0],4.775516666666666,False,False
145,wfd7e4af,[ 2  4  4  8 10 14  5  1  0],5.151966666666667,False,False
146,w4a45c23,[ 7  5  5  2  4 12  9  4  0],6.4215333333333335,False,False
147,w6099fc3,[ 0  3 12  4  1  6 12 10  0],12.6741,False,False
148,w5105a98,[6 9 8 9 4 5 7 0 0],6.225233333333334,False,False
149,w96a95fa,[ 0  0  0  1  7 14 16 10  0],7.238183333333334,False,False
150,wbfbc4f4,[12  0  0  0  1  0  1  0 34],13.236983333333333,False,False
151,w56056ee,[ 0  3  6 13 13 10  3  0  0],4.55525,False,False
152,wb4410d8,[4 9 5 7 8 7 7 1 0],6.321833333333333,False,False
153,wa7a28b1,[ 0  2  8  6 11  2  3 16  0],6.7517,False,False
154,w31f570e,[ 9  2 11  0  5  5 11  5  0],5.992566666666667,False,False
155,wb1f2aea,[ 0  3 13  4  9  5  4 10  0],6.615116666666666,False,False
156,w473f339,[16 10  0  2  3  2  7  7  1],5.131583333333333,False,False
157,wa8c3a62,[ 0  0  3  7 15 12  9  2  0],6.37945,False,False
158,w3280419,[ 5  1  1  4  6  9 15  5  2],10.624366666666667,False,False
159,w829fa17,[ 3  0  0  4  8 11 12  9  1],5.098366666666666,False,False
160,wd1e2f0a,[3 2 7 7 8 5 4 5 7],9.85735,False,False
161,wb05fb09,[ 0  0  0  2  5 10  7  1 23],9.056016666666666,False,False
162,w8ffe9c4,[2 2 2 8 7 7 9 9 2],5.769966666666667,False,False
163,wf686b57,[ 0  0  6 13 12 10  4  3  0],4.938983333333334,False,False
164,w4723c5a,[ 0  0  3  5 14  9  6 11  0],8.260733333333333,False,False
165,w604482a,[14  2  3  3  5  6 12  1  2],23.363116666666667,False,True
166,w1d1ffa4,[ 5  1  4  0  7  9 10 10  2],4.5248333333333335,False,False
167,w70dc99f,[ 5  6 11 10  6  4  4  2  0],4.9245,False,False
168,wbd0905a,[ 2  3  4  6  5 16 10  2  0],12.743083333333333,False,False
169,we85439c,[31  0  0  0  6  0  0  0 11],5.521483333333333,False,False
170,wc2994d6,[ 0  2  3  9  8  7  9 10  0],4.004016666666667,False,False
171,wf9a3acd,[18 19  4  1  2  3  1  0  0],6.239533333333333,False,False
172,wfccec3a,[ 9  1 11  0  4 13 10  0  0],22.163833333333333,False,True
